

2,23,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,23,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,23,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,23,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,24,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,24,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,24,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,24,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,25,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,25,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,25,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,25,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,26,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,26,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,26,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,27,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,27,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,27,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,27,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,28,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,30,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,30,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,31,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,31,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,31,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,288,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,32,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,32,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,197,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,197,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,197,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,197,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,207,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,289,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,289,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,289,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,289,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,187,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,33,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,33,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,33,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,33,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,34,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,34,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,34,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,34,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,238,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,238,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,238,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,35,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,35,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,36,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,36,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,37,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,37,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,198,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,198,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,198,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,220,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,220,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,220,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,220,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,38,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,38,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,39,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,39,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,39,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,39,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,40,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,41,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,41,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,41,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,41,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,234,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,234,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,234,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,263,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,263,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,206,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,206,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,42,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,42,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,42,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,201,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,201,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,276,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,276,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,276,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,276,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,196,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,223,C,2020-2021, 	(26-FEB-2025 10:11:12)
2,223,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,43,T,2022-2023, 	(26-FEB-2025 10:11:12)
2,43,T,2023-2024, 	(26-FEB-2025 10:11:12)
2,43,T,2024-2025, 	(26-FEB-2025 10:11:12)
2,2,B,2020-2021, 	(26-FEB-2025 10:11:12)
2,2,B,2022-2023, 	(26-FEB-2025 10:11:12)
2,2,B,2021-2022, 	(26-FEB-2025 10:11:12)
2,46,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,46,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,46,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,47,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,47,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,47,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,48,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,48,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,48,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,231,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,49,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,49,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,50,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,50,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,140,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,52,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,52,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,52,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,255,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,255,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,255,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,117,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,117,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,117,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,54,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,54,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,55,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,55,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,55,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,56,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,57,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,57,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,58,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,59,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,59,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,60,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,124,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,124,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,208,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,61,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,158,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,158,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,227,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,63,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,63,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,63,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,64,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,64,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,65,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,65,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,66,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,210,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,210,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,67,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,67,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,144,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,147,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,92,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,92,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,104,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,104,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,104,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,105,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,105,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,105,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,162,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,162,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,151,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,151,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,106,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,107,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,190,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,190,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,190,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,176,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,188,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,188,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,188,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,320,C,2021-2022, 	(26-FEB-2025 10:11:12)
2,320,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,202,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,202,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,277,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,277,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,167,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,122,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,122,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,174,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,174,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,181,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,183,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,184,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,184,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,123,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,123,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,121,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,119,C,2022-2023, 	(26-FEB-2025 10:11:12)
2,118,C,2023-2024, 	(26-FEB-2025 10:11:12)
2,130,C,2023-2024, 	(26-FEB-2025 10:11:12)
1,1,B,2023-2024, 	(26-FEB-2025 10:11:12)	 (Not Deleted)
1,2,C,2023-2024, 	(26-FEB-2025 10:11:12)	 (Not Deleted)
1,2,T,2023-2024, 	(26-FEB-2025 10:11:12)	 (Not Deleted)
1,5,C,2023-2024, 	(26-FEB-2025 10:11:12)	 (Not Deleted)
1,6,T,2023-2024, 	(26-FEB-2025 10:11:12)	 (Not Deleted)

TOTAL DATA DELETED : ,244,,, 	(26-FEB-2025 10:11:12)
 

<<ROLLBACK_END>>,<<FMS_ENTITY_TURNOVER_DTL()>>,,, 	(26-FEB-2025 10:11:12)
 
