

2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822008, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822008, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823084, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823084, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823083, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823083, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823084, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823084, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 16:02:28)
2,211, 0, 0,823094, 1,I, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823084, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823039, 4,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,823073, 1,T, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,823073, 1,T, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823059, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,823069, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823002, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823003, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823004, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823005, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823064, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823010, 1,I, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,823073, 1,T, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823087, 0,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823064, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823010, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823040, 4,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,823064, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823010, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822009, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823034, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,822002, 4,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822014, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822014, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,822002, 4,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822005, 0,D, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,822002, 4,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,822002, 4,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823080, 5,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,823080, 5,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823036, 4,D, 	(06-JUN-2025 16:02:28)
2,43, 0, 0,822002, 4,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,154, 0, 0,822028, 0,D, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,51, 0, 0,822015, 1,I, 	(06-JUN-2025 16:02:28)
2,61, 0, 0,822030, 1,I, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822017, 0,T, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)	 (Not Inserted)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)	 (Not Inserted)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:28)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)	 (Not Inserted)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)	 (Not Inserted)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)	 (Not Inserted)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823037, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822006, 0,D, 	(06-JUN-2025 16:02:29)
2,20, 0, 0,822018, 2,D, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:29)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:29)
2,51, 0, 0,822016, 2,I, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823082, 5,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,823038, 4,D, 	(06-JUN-2025 16:02:29)
2,1, 0, 0,822007, 0,D, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823080, 5,D, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823080, 5,D, 	(06-JUN-2025 16:02:29)
2,154, 0, 0,823080, 5,D, 	(06-JUN-2025 16:02:29)
