

2,2,56,22/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,84,23/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,57,25/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,28/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,2,29/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,7,29/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,84,31/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,112,31/08/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,01/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,24,04/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,56,05/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,54,05/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,7,06/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,109,06/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,10/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,57,10/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,54,11/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,9,21/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,24,27/09/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,02/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,02/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,24,04/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,24,05/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,114,11/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,80,12/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,80,12/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,1,19,13/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,1,17/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,21,20/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,79,24/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,47,25/10/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,47,09/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,114,10/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,11,11/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,21,11/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,7,19/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,22/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,114,25/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,26/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,26/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,58,26/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,20,28/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,114,30/11/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,1,04/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,57,06/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,20,08/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,116,09/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,13/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,15/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,1,54,15/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,109,17/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,24/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,20,26/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,20,30/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,6,47,30/12/2021 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,03/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,09/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,10/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,60,12/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,116,16/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,7,20/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,27/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,31/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,31/01/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,10,01/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,03/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,18,04/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,10/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,16,11/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,61,11/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,2,12/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,13/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,14/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,14/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,14/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,2,111,15/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,15/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,59,16/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,17/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,17/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,58,17/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,17/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,11,19,19/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,19/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,20/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,11,21/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,7,25/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,25/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,26/02/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,109,02/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,86,03/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,20,03/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,03/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,4,109,03/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,28,05/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,8,5,07/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,07/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,07/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,8,09/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,10/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,12/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,12/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,14/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,14/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,17/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,19/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,19/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,24/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,24/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,63,25/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,10,59,26/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,27/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,27/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,87,29/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,111,29/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,30/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,30/03/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,58,03/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,04/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,05/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,07/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,10,59,11/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,11/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,12/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,12/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,59,12/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,63,13/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,15/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,15/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,2,59,15/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,15/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,58,15/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,17/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,19/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,19/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,63,19/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,20/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,23/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,24/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,58,24/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,25/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,8,52,25/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,25,26/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,26/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,10,59,27/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,27/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,28/04/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,03/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,03/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,58,03/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,06/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,06/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,59,06/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,07/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,12/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,13/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,13/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,13/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,14/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,63,15/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,15/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,13,89,16/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,13,88,16/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,16/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,86,17/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,18/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,19/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,19/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,21/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,23/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,24/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,2,87,26/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,26/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,27/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,25,27/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,87,27/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,87,27/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,58,28/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,63,29/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,29/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,8,23,31/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,31/05/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,91,01/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,63,02/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,02/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,02/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,02/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,59,02/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,58,06/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,06/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,86,07/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,07/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,07/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,10,08/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,86,08/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,08/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,86,09/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,12/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,12/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,15/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,25,16/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,11,25,17/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,18/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,18/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,19/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,19/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,20/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,20/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,13,88,23/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,24/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,24/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,24/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)	 (Not Inserted)
2,12,59,25/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,26/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,28/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,10,59,30/06/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,05/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,06/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,06/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,08/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,12/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,12/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,16/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,17/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,19/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,22/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,22/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,28/07/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,59,02/08/2022 00:00:00, 	(27-MAY-2025 16:48:26)
2,12,58,03/08/2022 00:00:00, 	(27-MAY-2025 16:48:26)
