
SGIPL,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
SGIPL,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
SGIPL,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,5,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,11,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,13,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,14,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,12,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,13,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,14,2,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,15,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,16,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,17,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,18,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,12,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,14,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,10,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,19,1,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,18,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,19,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,16,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,15,0,F, 	(23-SEP-2025 15:50:36)
BIL,1,0,17,0,F, 	(23-SEP-2025 15:50:36)
RIPL,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
RIPL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
RIPL,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
RIPL,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
RIPL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
RIPL,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
CP,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
CP,1,0,1,4,F, 	(23-SEP-2025 15:50:36)
CP,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
CP,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
CP,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
CP,1,0,1,2,F, 	(23-SEP-2025 15:50:36)
CP,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
CP,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
CP,1,0,1,3,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,1,2,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,6,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,5,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,12,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,12,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,13,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,10,2,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,11,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,10,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,13,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,14,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,16,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,17,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,17,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,15,0,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,16,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,15,1,F, 	(23-SEP-2025 15:50:36)
HALHFGL,1,0,14,1,F, 	(23-SEP-2025 15:50:36)
VIDUWIL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
VIDUWIL,1,0,1,2,F, 	(23-SEP-2025 15:50:36)
VIDUWIL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
VIDUWIL,1,0,1,3,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,3,2,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,1,2,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,6,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,12,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,18,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,6,2,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,14,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,18,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,19,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,10,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,17,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,19,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,16,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,13,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,11,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,12,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,13,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,14,1,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,15,0,F, 	(23-SEP-2025 15:50:36)
AGP CGD,1,0,15,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,5,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,6,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
MINDA,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,2,2,F, 	(23-SEP-2025 15:50:36)
LEIPL,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
SCHOTT,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
SCHOTT,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
SCHOTT,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
SCHOTT,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
SCHOTT,1,0,1,2,F, 	(23-SEP-2025 15:50:36)
SCHOTT,1,0,2,2,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
BIPL,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,5,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,10,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,13,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,14,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,13,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,12,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,11,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,6,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,15,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,12,0,F, 	(23-SEP-2025 15:50:36)
EXXARO,1,0,14,1,F, 	(23-SEP-2025 15:50:36)
KAJARIA,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
KAJARIA,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
KAJARIA,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
KAJARIA,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,11,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,5,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,6,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,10,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,12,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,8,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
JKPAPER,1,0,12,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,1,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,4,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,1,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,4,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,3,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,5,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,5,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,7,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,7,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,8,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,3,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,6,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,6,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,7,2,F, 	(23-SEP-2025 15:50:36)
STL,1,0,2,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,2,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,10,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,10,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,13,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,9,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,13,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,12,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,14,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,12,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,15,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,15,3,F, 	(23-SEP-2025 15:50:36)
STL,1,0,9,1,F, 	(23-SEP-2025 15:50:36)
STL,1,0,11,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,15,0,F, 	(23-SEP-2025 15:50:36)
STL,1,0,8,1,F, 	(23-SEP-2025 15:50:37)
STL,1,0,14,1,F, 	(23-SEP-2025 15:50:37)
STL,1,0,15,2,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,2,1,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,2,2,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,1,0,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,3,0,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,5,0,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,4,1,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,3,1,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,5,1,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,1,1,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,4,0,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,2,0,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,6,0,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,6,2,F, 	(23-SEP-2025 15:50:37)
CELLO,1,0,6,1,F, 	(23-SEP-2025 15:50:37)
CALDERYS,1,0,1,0,F, 	(23-SEP-2025 15:50:37)
BWRL,1,0,1,1,F, 	(23-SEP-2025 15:50:37)
BWRL,1,0,1,0,F, 	(23-SEP-2025 15:50:37)
BWRL,1,0,2,0,F, 	(23-SEP-2025 15:50:37)
BWRL,1,0,2,1,F, 	(23-SEP-2025 15:50:37)
VIRGO,1,0,2,0,F, 	(23-SEP-2025 15:50:37)
VIRGO,1,0,3,0,F, 	(23-SEP-2025 15:50:37)
