

RIL,F,3,0,3,0,S, 	(19-MAY-2025 15:08:26)
RIL,F,5,0,1,0,S, 	(19-MAY-2025 15:08:26)
RIL,F,3,0,1,0,S, 	(19-MAY-2025 15:08:26)
RIL,F,1,0,1,0,S, 	(19-MAY-2025 15:08:26)
RIL,F,2,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,2,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,4,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,9,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,1,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,1,0,2,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,2,0,1,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,7,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,8,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,1,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,13,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,5,0,2,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,5,0,3,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,4,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,4,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,12,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,4,0,2,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,4,0,3,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,4,0,4,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,5,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,2,0,4,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,3,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,11,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,11,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,2,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,5,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,2,0,3,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,2,0,2,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,6,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,10,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,2,0,4,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,3,0,1,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,1,0,3,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,1,0,4,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,2,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,3,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,5,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,5,2,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,9,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,10,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,11,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,6,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,3,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,2,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,5,1,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,7,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,14,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,15,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,0,8,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,13,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,12,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,16,0,S, 	(19-MAY-2025 15:08:26)
MGL,F,6,2,17,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,2,0,2,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,1,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,2,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,3,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,4,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,5,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,6,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,7,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,8,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,9,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,10,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,11,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,12,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,17,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,15,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,16,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,18,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,34,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,35,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,37,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,38,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,40,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,42,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,43,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,18,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,13,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,25,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,30,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,41,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,11,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,11,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,11,3,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,75,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,76,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,2,0,1,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,14,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,19,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,20,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,22,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,23,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,24,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,26,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,27,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,28,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,29,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,31,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,32,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,44,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,45,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,46,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,47,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,48,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,49,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,50,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,51,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,52,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,53,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,54,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,55,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,56,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,57,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,58,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,59,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,60,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,61,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,62,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,63,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,64,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,65,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,66,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,67,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,68,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,69,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,70,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,71,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,72,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,73,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,74,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,21,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,78,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,70,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,84,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,88,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,67,3,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,67,4,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,77,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,81,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,84,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,94,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,97,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,89,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,91,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,91,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,93,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,95,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,96,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,98,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,101,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,99,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,100,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,101,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,102,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,102,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,100,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,100,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,89,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,68,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,85,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,90,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,92,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,82,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,77,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,69,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,86,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,87,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,33,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,36,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,39,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,18,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,21,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,67,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,75,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,75,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,75,3,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,71,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,76,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,76,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,80,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,81,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,81,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,86,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,88,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,67,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,79,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,82,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,83,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,78,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,102,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,102,3,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,111,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,114,2,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,104,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,105,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,106,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,112,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,113,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,122,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,114,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,116,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,117,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,118,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,107,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,108,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,109,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,110,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,114,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,103,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,115,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,119,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,123,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,123,1,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,120,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,3,121,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,4,124,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,4,125,0,S, 	(19-MAY-2025 15:08:26)
GSPCL,F,1,0,1,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,8,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,9,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,10,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,11,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,12,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,13,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,14,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,15,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,3,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,4,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,6,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,1,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,2,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,5,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,7,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,2,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,1,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,23,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,24,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,22,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,16,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,17,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,18,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,19,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,20,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,1,0,21,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,3,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,4,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,3,1,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,4,1,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,5,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,6,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,8,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,9,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,10,0,S, 	(19-MAY-2025 15:08:26)
Gail,F,2,1,7,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,2,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,3,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,4,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,5,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,26,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,27,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,28,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,26,1,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,27,1,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,9,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,15,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,20,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,29,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,30,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,31,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,32,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,33,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,34,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,35,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,36,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,37,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,38,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,39,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,40,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,41,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,42,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,43,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,44,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,45,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,33,1,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,41,1,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,6,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,7,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,8,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,10,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,11,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,12,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,13,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,14,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,16,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,17,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,18,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,19,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,21,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,22,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,23,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,24,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,25,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,1,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,2,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,3,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,4,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,5,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,6,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,7,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,8,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,9,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,10,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,11,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,12,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,13,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,14,0,1,0,S, 	(19-MAY-2025 15:08:26)
ESL,F,15,0,1,0,S, 	(19-MAY-2025 15:08:26)
NTPC,F,33,0,1,0,S, 	(19-MAY-2025 15:08:26)
NTPC,F,37,0,1,3,S, 	(19-MAY-2025 15:08:26)
NTPC,F,31,0,1,0,S, 	(19-MAY-2025 15:08:26)
